img,title,company,rating,review,location,experience
https://static.ambitionbox.com/alpha/company/photos/logos/thoucentric.jpg,Thoucentric - Data Scientist (4-6 yrs),Thoucentric Technology Private Limited,3.9,85,Bengaluru/Bangalore,4-6 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/thoucentric.jpg,Thoucentric - Data Scientist (1-3 yrs),Thoucentric Technology Private Limited,3.9,85,"Bengaluru/Bangalore, Karnataka",1-3 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/embibe-22888.jpg,Data Scientist,Embibe,3.7,579,Bengaluru/Bangalore,3-6 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/embibe-22888.jpg,Sr Data Scientist,Embibe,3.7,579,Bengaluru/Bangalore,7-10 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/reubro-international.jpg,Data Scientist,Reubro International,4.9,7,Cochin/Ernakulam/Kochi,3-8 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/shadowfax-technologies-157094.jpg,Data Scientist,Shadowfax Technologies Pvt. Ltd.,3.6,1.1k,Gurgaon/Gurugram,1-3 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/reubro-international.jpg,Data Scientist,Reubro International,4.9,7,"Cochin/Ernakulam/Kochi, Cochin/Ernakulam/Kochi",3-8 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/vbeyond.jpg,Data Scientist - BPO (10-21 yrs),Vbeyond Corporation,3.9,115,"Bengaluru/Bangalore, Mumbai",10-21 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/vbeyond.jpg,Data Scientist - Analytics - Automobile (5-13 yrs),Vbeyond Corporation,3.9,115,"Mumbai, Navi Mumbai",5-13 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/alphastream.jpg,Alphastream.ai - Computer Vision Engineer - Python (4-10 yrs),ALPHASTREAM TECHNOLOGIES PRIVATE LIMITED,3.2,32,Bangalore / Bengaluru,4-10 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/creditvidya-387039.jpg,CreditVidya - Data Scientist II - Machine Learning/Deep Learning (1-4 yrs),CreditVidya,4.0,53,Hyderabad/Secunderabad,1-4 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/creditvidya-387039.jpg,CreditVidya - Machine Learning Engineer II - Java/Scala (1-5 yrs),CreditVidya,4.0,53,Hyderabad/Secunderabad,1-5 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/marktine.jpg,Data Scientist,Marktine,4.7,53,Remote,6-8 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/datamatics-business-solutions.jpg,Senior Data Scientist,Datamatics Business Solutions,3.5,307,Mumbai,3-5 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/datamatics-business-solutions.jpg,Datamatics - Senior Data Scientist - SQL/Spark/Python (4-8 yrs),Datamatics Business Solutions,3.5,307,"Mumbai, Navi Mumbai, Thane",4-8 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/optimum-infosystem-pvt-dot-ltd-dot.jpg,Data Scientist,Optimum Solutions,3.5,428,Chennai,5-10 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/ccs-computers.jpg,CCS Computers - Data Scientist - Data Visualization Tools (5-6 yrs),CCS Computers Private Limited,3.9,110,Delhi NCR,5-6 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/awiros.jpg,Principal Engineer - Computer Vision/Artificial Intelligence (4-12 yrs),Awiros,4.4,19,Gurgaon/Gurugram,4-12 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/taggd.jpg,Data Scientist (3-10 yrs),"About Taggd: Taggd is a digital recruitment platform that provides Ready-to-Hire talent to India Inc. Combining the power of human knowledge and data, Taggd hassuccessfully fulfilled talent mandates of more than 100  clients and ensured hiring managers’",3.9,123,"Mumbai, Bengaluru/Bangalore, Pune",3-10 Yrs
https://static.ambitionbox.com/alpha/company/photos/logos/taggd.jpg,Data Scientist - Python/SQL (3-10 yrs),"About Taggd: Taggd is a digital recruitment platform that provides Ready-to-Hire talent to India Inc. Combining the power of human knowledge and data, Taggd hassuccessfully fulfilled talent mandates of more than 100  clients and ensured hiring managers’",3.9,123,"Pune, Mumbai, Bengaluru/Bangalore",3-10 Yrs
